sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 0 8 0xd00 135 57.7 61.2 100.9 281.7 334.0 476.4 99899.4 100000 20 1034.51 2155391 233743554 3857516 150433950 144716971142 152928973601 341688206086 314796153 0 0 0 0 3546569 3593952
ebbrt_tuned 0 2 0xf00 135 52.5 55.6 82.3 194.6 256.0 322.6 50067.5 50000 20 1066.25 1562004 147923402 2002528 78097112 75978128878 93378181635 186580130023 166326830 0 0 0 0 2961055 2479138
ebbrt_tuned 0 2 0xf00 135 51.6 54.3 84.5 227.9 274.4 378.7 99854.9 100000 20 1154.21 2262225 243861663 3993410 155731816 149606747859 159299576881 310375882473 316313603 0 0 0 0 3735118 3939590
ebbrt_tuned 0 4 0xf00 135 52.3 55.3 82.0 189.8 254.5 325.6 50087.0 50000 20 1065.99 1563165 148041567 2003347 78129168 76101129364 93827357555 187358569512 167548868 0 0 0 0 2957467 2482961
ebbrt_tuned 0 4 0xf00 135 51.9 54.7 86.1 232.2 279.3 389.7 99854.2 100000 20 1155.98 2255673 243452859 3993359 155729886 149449448901 160052655363 311765535416 317809320 0 0 0 0 3755053 3952019
ebbrt_tuned 0 8 0xf00 135 55.8 58.3 86.3 197.9 262.3 328.6 50018.9 50000 20 1066.01 1551393 147220428 2000561 78020636 76207166034 94907456152 189550746647 169039429 0 0 0 0 3062301 2409491
ebbrt_tuned 0 8 0xf00 135 55.2 57.5 89.4 235.5 284.4 393.3 100011.1 100000 20 1157.48 2254271 243528936 3999543 155972128 149989692835 161999409336 315618116251 321827466 0 0 0 0 3972259 3801692
ebbrt_tuned 0 2 0x1100 135 49.8 51.1 70.6 159.2 219.8 272.9 49958.5 50000 20 1176.01 1604333 150358793 1998181 77927516 77348659694 88775415617 151439854376 177810831 0 0 0 0 3226525 2545707
ebbrt_tuned 0 2 0x1100 135 48.1 50.7 76.1 199.1 244.7 330.7 99993.8 100000 20 1215.72 2226390 239266466 3900847 152126176 148272789634 159169422718 271523786220 324480089 0 0 0 0 3948532 3928209
ebbrt_tuned 0 4 0x1100 135 48.1 50.4 69.6 159.0 220.4 274.3 50005.9 50000 20 1175.5 1604706 150440549 2000044 77999226 77463944014 89144897387 152070160676 178329702 0 0 0 0 3230932 2547093
ebbrt_tuned 0 4 0x1100 135 49.1 51.6 77.6 196.8 236.9 315.5 100067.8 100000 20 1244.28 2283627 245409330 4002016 156070480 148544018284 160122386445 278621310426 297815267 0 0 0 0 4076881 4043592
ebbrt_tuned 0 8 0x1100 135 53.3 56.4 81.0 178.4 232.0 293.0 50078.7 50000 20 1146.38 1569080 148382378 2003004 78115770 75892842793 95852792032 174144186202 161738751 0 0 0 0 3181628 2439848
ebbrt_tuned 0 8 0x1100 135 52.7 55.7 82.2 202.7 246.3 329.5 100034.6 100000 20 1251.9 2274199 244789511 4000683 156018284 149126910126 163328512544 284033910562 311967097 0 0 0 0 4190795 3868140
ebbrt_tuned 0 2 0x1300 135 46.1 47.7 64.7 144.4 198.2 247.0 49982.4 50000 20 1282.38 1622717 151485991 1999082 77962954 77457463788 90425665265 138019830268 177708939 0 0 0 0 3332390 2572522
ebbrt_tuned 0 2 0x1300 135 46.8 48.9 71.8 179.3 222.1 293.5 100013.3 100000 20 1376.91 2295937 246033057 3999832 155985500 152113312975 165741978356 252976582789 334256115 0 0 0 0 4303749 4087023
ebbrt_tuned 0 4 0x1300 135 46.6 48.5 65.5 144.5 199.3 246.7 49954.8 50000 20 1283.38 1623513 151502910 1997930 77917482 77372057771 90573815511 138245922330 175877017 0 0 0 0 3371231 2575876
ebbrt_tuned 0 4 0x1300 135 46.3 48.4 70.9 177.1 220.2 293.3 100040.7 100000 20 1375.74 2299567 246270553 4000903 156026240 152096759349 165718939055 252941460454 331809362 0 0 0 0 4322882 4088062
ebbrt_tuned 0 8 0x1300 135 51.1 52.9 70.4 149.7 204.8 250.5 49955.7 50000 20 1283.22 1612384 150818484 1998107 77924726 77337180537 90635907412 138340769121 177246917 0 0 0 0 3432575 2500265
ebbrt_tuned 0 2 0x1500 135 44.1 46.0 60.8 129.0 178.8 222.2 50071.6 50000 20 1395.73 1648235 153112593 2002713 78104172 77517687692 90996088991 125660479246 176655346 0 0 0 0 3469758 2607300
ebbrt_tuned 0 2 0x1500 135 44.9 46.7 66.1 157.2 200.0 259.0 99904.2 100000 20 1493.56 2316424 247182031 3995330 155808176 151781260282 166484164986 229906617281 329213968 0 0 0 0 4526607 4132765
ebbrt_tuned 0 4 0x1500 135 45.5 46.7 61.8 133.7 183.5 225.5 50104.2 50000 20 1396.93 1642521 152811793 2003975 78153424 77605179179 91483583037 126333732864 178892090 0 0 0 0 3501248 2604995
ebbrt_tuned 0 4 0x1500 135 44.5 46.5 65.7 156.5 199.4 260.0 99933.7 100000 20 1492.87 2313143 246990753 3995847 155815308 151957366305 166410266855 229804594121 330940436 0 0 0 0 4560427 4128034
ebbrt_tuned 0 8 0x1500 135 48.6 50.5 65.0 136.0 187.1 227.7 50021.1 50000 20 1396.11 1632563 152115159 2000640 78023572 77527779551 91174756797 125906662711 175677783 0 0 0 0 3555794 2527482
ebbrt_tuned 0 8 0x1500 135 48.1 50.5 69.5 162.7 203.9 264.8 99890.2 100000 20 1492.25 2309603 246745798 3994882 155790858 151870997263 166888384161 230465068048 332526723 0 0 0 0 4614506 3969456
